Code,Description,Source URL
A25.0,Spirillosis Incl.: Sodoku,https://icd.who.int/browse10/2019/en#/A20-A28
A25.1,Streptobacillosis Incl.: Epidemic arthritic erythema Haverhill fever Streptobacillary rat-bite fever,https://icd.who.int/browse10/2019/en#/A20-A28
A25.9,"Rat-bite fever, unspecified",https://icd.who.int/browse10/2019/en#/A20-A28
A26,Erysipeloid,https://icd.who.int/browse10/2019/en#/A20-A28
A26.0,Cutaneous erysipeloid Incl.: Erythema migrans,https://icd.who.int/browse10/2019/en#/A20-A28
A26.7,Erysipelothrix sepsis,https://icd.who.int/browse10/2019/en#/A20-A28
A26.8,Other forms of erysipeloid,https://icd.who.int/browse10/2019/en#/A20-A28
A26.9,"Erysipeloid, unspecified",https://icd.who.int/browse10/2019/en#/A20-A28
A27,Leptospirosis,https://icd.who.int/browse10/2019/en#/A20-A28
A27.0,Leptospirosis icterohaemorrhagica Incl.: Leptospirosis due to Leptospira interrogans serovar icterohaemorrhagiae,https://icd.who.int/browse10/2019/en#/A20-A28
A27.8,Other forms of leptospirosis,https://icd.who.int/browse10/2019/en#/A20-A28
A27.9,"Leptospirosis, unspecified",https://icd.who.int/browse10/2019/en#/A20-A28
A28,"Other zoonotic bacterial diseases, not elsewhere classified",https://icd.who.int/browse10/2019/en#/A20-A28
A28.0,Pasteurellosis,https://icd.who.int/browse10/2019/en#/A20-A28
A28.1,Cat-scratch disease Incl.: Cat-scratch fever,https://icd.who.int/browse10/2019/en#/A20-A28
A28.2,Extraintestinal yersiniosis Excl.: enteritis due to Yersinia enterocolitica (A04.6) plague (A20.-),https://icd.who.int/browse10/2019/en#/A20-A28
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",https://icd.who.int/browse10/2019/en#/A20-A28
A28.9,"Zoonotic bacterial disease, unspecified",https://icd.who.int/browse10/2019/en#/A20-A28
A30-,ICD-10 Version:2016 - English,https://icd.who.int/browse10/2019/en#/A30-A49
A30,Leprosy [Hansen disease] Incl.: infection due to Mycobacterium leprae Excl.: sequelae of leprosy (B92),https://icd.who.int/browse10/2019/en#/A30-A49
A30.0,Indeterminate leprosy Incl.: I leprosy,https://icd.who.int/browse10/2019/en#/A30-A49
A30.1,Tuberculoid leprosy Incl.: TT leprosy,https://icd.who.int/browse10/2019/en#/A30-A49
A30.2,Borderline tuberculoid leprosy Incl.: BT leprosy,https://icd.who.int/browse10/2019/en#/A30-A49
A30.3,Borderline leprosy Incl.: BB leprosy,https://icd.who.int/browse10/2019/en#/A30-A49
A30.4,Borderline lepromatous leprosy Incl.: BL leprosy,https://icd.who.int/browse10/2019/en#/A30-A49
A30.5,Lepromatous leprosy Incl.: LL leprosy,https://icd.who.int/browse10/2019/en#/A30-A49
A30.8,Other forms of leprosy,https://icd.who.int/browse10/2019/en#/A30-A49
A30.9,"Leprosy, unspecified",https://icd.who.int/browse10/2019/en#/A30-A49
A31,Infection due to other mycobacteria Excl.: leprosy (A30.-) tuberculosis (A15-A19),https://icd.who.int/browse10/2019/en#/A30-A49
A31.0,Pulmonary mycobacterial infection Incl.: Infection due to Mycobacterium: avium intracellulare [Battey bacillus] kansasii,https://icd.who.int/browse10/2019/en#/A30-A49
A31.1,Cutaneous mycobacterial infection Incl.: Buruli ulcer Infection due to Mycobacterium: marinum ulcerans,https://icd.who.int/browse10/2019/en#/A30-A49
A31.8,Other mycobacterial infections,https://icd.who.int/browse10/2019/en#/A30-A49
A31.9,"Mycobacterial infection, unspecified Incl.: Atypical mycobacterium infection NOS Mycobacteriosis NOS",https://icd.who.int/browse10/2019/en#/A30-A49
A32,Listeriosis Incl.: listerial foodborne infection Excl.: neonatal (disseminated) listeriosis (P37.2),https://icd.who.int/browse10/2019/en#/A30-A49
A32.0,Cutaneous listeriosis,https://icd.who.int/browse10/2019/en#/A30-A49
A32.7,Listerial sepsis,https://icd.who.int/browse10/2019/en#/A30-A49
A32.8,Other forms of listeriosis Incl.: Listerial: cerebral arteritis† (I68.1*) endocarditis† (I39.8*) Oculoglandular listeriosis,https://icd.who.int/browse10/2019/en#/A30-A49
A32.9,"Listeriosis, unspecified",https://icd.who.int/browse10/2019/en#/A30-A49
A33,Tetanus neonatorum,https://icd.who.int/browse10/2019/en#/A30-A49
A34,Obstetrical tetanus,https://icd.who.int/browse10/2019/en#/A30-A49
A35,Other tetanus Incl.: Tetanus NOS Excl.: tetanus: neonatorum (A33) obstetrical (A34),https://icd.who.int/browse10/2019/en#/A30-A49
A36,Diphtheria,https://icd.who.int/browse10/2019/en#/A30-A49
A36.0,Pharyngeal diphtheria Incl.: Diphtheritic membranous angina Tonsillar diphtheria,https://icd.who.int/browse10/2019/en#/A30-A49
A36.1,Nasopharyngeal diphtheria,https://icd.who.int/browse10/2019/en#/A30-A49
A36.2,Laryngeal diphtheria Incl.: Diphtheritic laryngotracheitis,https://icd.who.int/browse10/2019/en#/A30-A49
A36.3,Cutaneous diphtheria Excl.: erythrasma (L08.1),https://icd.who.int/browse10/2019/en#/A30-A49
A36.8,Other diphtheria Incl.: Diphtheritic: conjunctivitis† (H13.1*) myocarditis† (I41.0*) polyneuritis† (G63.0*),https://icd.who.int/browse10/2019/en#/A30-A49
A36.9,"Diphtheria, unspecified",https://icd.who.int/browse10/2019/en#/A30-A49
A37,Whooping cough,https://icd.who.int/browse10/2019/en#/A30-A49
A37.0,Whooping cough due to Bordetella pertussis,https://icd.who.int/browse10/2019/en#/A30-A49
A37.1,Whooping cough due to Bordetella parapertussis,https://icd.who.int/browse10/2019/en#/A30-A49
A37.8,Whooping cough due to other Bordetella species,https://icd.who.int/browse10/2019/en#/A30-A49
A37.9,"Whooping cough, unspecified",https://icd.who.int/browse10/2019/en#/A30-A49
A38,Scarlet fever Incl.: Scarlatina Excl.: streptococcal sore throat (J02.0),https://icd.who.int/browse10/2019/en#/A30-A49
A39,Meningococcal infection,https://icd.who.int/browse10/2019/en#/A30-A49
A39.2,Acute meningococcaemia,https://icd.who.int/browse10/2019/en#/A30-A49
A39.3,Chronic meningococcaemia,https://icd.who.int/browse10/2019/en#/A30-A49
A39.4,"Meningococcaemia, unspecified Incl.: Meningococcal bacteraemia NOS",https://icd.who.int/browse10/2019/en#/A30-A49
